"Component","License Type","Modified","Linked","URL","Binaries"
"Avahi 0.6.25","LGPL","unmodified","dynamic","http://avahi.org/","libavahi-common,libavahi-core,libavahi-glib"
"Atk 1.32.0","LGPLv2","unmodified","dynamic","http://projects.gnome.org/accessibility","libatk-1.0"
"Bzip 1.0.5","BSD-like","unmodified","static","http://www.bzip.org/","libbz2"
"Clutter 1.6.4","LGPL","modified","dynamic","http://www.clutter-project.org/","libclutter-eglnative-1.0"
"Cairo 1.10.2","LGPL","unmodified","dynamic","http://cairographics.org/","libcairo-gobject,libcairo-script-interpreter,libcairo"
"C-Ares 1.7.0","MIT","unmodified","dynamic","http://c-ares.haxx.se/","libcares"
"Curl 7.20.0","MIT/X (BSD-like)","unmodified","dynamic","http://curl.haxx.se/","libcurl"
"libexif 0.6.20","LGPLv2","unmodified","dynamic","http://libexif.sourceforge.net/","libexif"
"Expat 2.0.1","MIT-like","unmodified","dynamic","http://expat.sourceforge.net/","libexpat"
"FontConfig 2.8.0","BSD-like","unmodified","dynamic","http://fontconfig.org/","libfontconfig"
"FreeType 2.3.12","BSD","unmodified","dynamic","http://freetype.sourceforge.net/","libfreetype"
"gettext 0.18.1.1","GPLv2","modified","dynamic","http://savannah.gnu.org/projects/gettext/","libasprintf,libgettextlib-0.18.1,libgettextpo,libgettextsrc-0.18.1 "
"giflib 4.1.6","MIT","unmodified","dynamic","http://sourceforge.net/projects/giflib/","libgif"
"glib2 2.26","LGPL","modified","dynamic","http://www.gtk.org/","libgio-2.0,libglib-2.0,libgmodule-2.0,libgobject-2.0,libgthread-2.0"
"pixman 0.21.2","MIT","unmodified","dynamic","http://cgit.freedesktop.org/pixman/","libpixman-1"
"jpeg 8b","BSD-like","unmodified","dynamic","http://www.ijg.org/","libjpeg"
"json-glib 0.12.2","LGPL","unmodified","dynamic","http://live.gnome.org/JsonGlib","libjson-glib-1.0"
"ossp-uuid 1.6.2","MIT","unmodified","dynamic","http://www.ossp.org/pkg/lib/uuid/","libuuid"
"libpng 1.2.42","MIT-like","unmodified","dynamic","http://www.libpng.org/pub/png/libpng.html","libpng12,libpng"
"OpenSSL 0.9.8l","BSD","unmodified","static","http://www.openssl.org/","libcrypto,libssl"
"pango 1.26.2","LGPL","unmodified","dynamic","http://www.pango.org/","libpango-1.0,libpangocairo-1.0,libpangoft2-1.0"
"libsoup 2.32.2","LGPLv2","modified","dynamic","http://www.gnome.org/","libsoup-2.4"
"sndfile 1.0.23","LGPLv2","unmodified","dynamic","http://www.mega-nerd.com/libsndfile/","libsndfile"
"sqlite3 3.6.22","Public Domain","unmodified","dynamic","http://www.sqlite.org/","libsqlite3"
"tiff 3.9.4","BSD","unmodified","dynamic","http://www.remotesensing.org/libtiff","libtiff,libtiffxx"
"libupnp 1.6.6","BSD","modified","dynamic","http://pupnp.sourceforge.net","libixml,libthreadutil,libupnp"
"liburiparser 0.7.5","BSD","unmodified","dynamic","http://uriparser.sourceforge.net/","liburiparser"
"XML2 2.7.8","MIT","unmodified","dynamic","http://xmlsoft.org/","libxml2"
"Zlib 1.2.3","BSD-like","unmodified","static","http://zlib.net/","libz"
"Box2D 2.1.2","BSD-like","unmodified","static","http://www.box2d.org/","none"
"Lua 5.1.4","MIT","unmodified","static","http://www.lua.org/","none"
"JSON Parser ","BSD-like","unmodified","static","No longer online","none"
"Info-ZIP","BSD-like","modified","static","http://www.info-zip.org/","none"
